url;name;category;ingredients;steps;calories;protein;fat;carbohydrates
https://www.povarenok.ru/recipes/show/170045/;Быстрый кекс с замороженными ягодами;Выпечка;"Яйцо куриное — 2 шт
Сахар — 120 г
Масло растительное — 70 мл
Кефир — 130 мл
Мука пшеничная / Мука — 230 г
Разрыхлитель теста — 1 ч. л.
Цедра апельсина (по желанию) — 1 ч. л.
Соль — 1 щепот.
Ванилин — 1 щепот.
Ягода (У нас замороженная черная смородина) — 100 г";;313.6 ккал;6 г;12.5 г;44.4 г
https://www.povarenok.ru/recipes/show/170044/;Картофель с грибами в сметане;Горячие блюда;"Картофель (вареный) — 3 шт
Шампиньоны (консервированные, нарезанные) — 100 г
Лук репчатый — 1 шт
Сметана — 100 г
Масло растительное — 3 ст. л.
Соль — по вкусу
Зелень (укроп, петрушка) — по вкусу";"Шаг 1: Картофель отварной в мундире, шампиньоны консервированные, сметана, лук репчатый, вот основные ингредиенты, из которых можно приготовить вкусный обед, ужин.
Шаг 2: Лук почистить, нарезать.
Шаг 3: В сковороде разогреть растительное масло, обжарить лук, Пока обжаривается лук, нарезать картофель, как вам захочется.
Шаг 4: К луку добавить грибы, картофель, обжарить все вместе 3-5 минут. Затем добавить сметану, перемешать, накрыть сковороду крышкой и потомить на небольшом огне.
Шаг 5: При подаче посыпать укропом или петрушкой. Приятного!";138.4 ккал;2.3 г;8.8 г;12.8 г
https://www.povarenok.ru/recipes/show/170043/;Творожный пирог на скорую руку;Выпечка;"Масло сливочное — 150 г
Сахар — 250 г
Соль — 1 щепот.
Ванилин — по вкусу
Творог — 150 г
Яйцо куриное — 3 шт
Мука пшеничная / Мука — 250 г
Разрыхлитель теста — 2 ч. л.";"Шаг 1: В чашу кладем масло, сахар, соль и ванилин.
Шаг 2: Хорошо взбиваем.
Шаг 3: Добавляем творог и еще раз взбиваем.
Шаг 4: Добавляем яйца. Хорошо взбиваем до растворения сахара.
Шаг 5: Просеиваем муку с разрыхлителем.
Шаг 6: Аккуратно перемешиваем лопаткой.
Шаг 7: Выкладываем тесто в форму.
Шаг 8: Выпекаем при 170⁰С 50 минут.
Шаг 9: По желанию украшаем растопленным белым шоколадом.
Шаг 10: Приятного аппетита.";344.2 ккал;7.3 г;14.9 г;45.3 г
https://www.povarenok.ru/recipes/show/170042/;Менемен;Горячие блюда;"Масло сливочное — 50 г
Помидор — 4 шт
Перец кайен — по вкусу
Яйцо куриное — 4 шт
Колбаса (Суджук) — 60 г
Бастурма — 50 г
Моцарелла — 150 г
Соль — по вкусу
Перец черный — по вкусу";"Шаг 1: Помидоры примерно на 500 гр, можно заменить томатным соусом. Так же можно добавить болгарский перец. Кайенский перец можно не класть, но обычно менемен идёт с остринкой. В качестве колбасы - суджук. Или, на худой конец, чоризо. Бастурму можно заменить прошутто или беконом. Но, вообще, использование именно суджука и бастурмы - важно, потому что у них есть особый аромат. Фактически добавление этих двух ингредиентов эквивалентно небольшой кучке специй. Сыр, в оригинале, берётся Beyaz peynir (турецкий белый). Заменить его можно моцареллой или чеддером. И ещё один важный момент. Турки делятся на два типа. Одни едят менемен с луком, другие - без. Если хотите попробовать с луком, просто нарежьте его, обжарьте в самом начале и далее по рецепту.
Шаг 2: Растопить масло. Масла, действительно, берётся много. Это специфика блюда.
Шаг 3: Когда масло станет прозрачным, добавить помидоры, накрыть крышкой, варить около 8 минут.
Шаг 4: Прямо в сковороде размять их.
Шаг 5: Добавить суджук и бастурму, перемешать. Подождать пару минут.
Шаг 6: И добавить 1/4 сыра, перемешать. Добавить яйца, посолить, поперчить, посыпать кайенским перцем, перемешать. Подождать минуту.
Шаг 7: Сверху выложить остатки сыра и распределить его.
Шаг 8: Когда сыр растает - можно снимать с огня.
Шаг 9: Приятного аппетита.";141.9 ккал;7.2 г;12.3 г;2.2 г
https://www.povarenok.ru/recipes/show/170041/;Мягкий шницель из свинины;Горячие блюда;"Свинина (1 кг 250 грамм) — 1250 г
Соль — по вкусу
Перец черный — по вкусу
Чеснок (Гранулированный чеснок.) — по вкусу
Приправа (Смесь приправ) — по вкусу
Помидор — 1 шт
Огурец — 1 шт
Сухари панировочные / Панировка — 250 г
Мука пшеничная / Мука — 250 г
Яйцо куриное — 3 шт
Масло растительное — 250 мл";;311.2 ккал;11.3 г;22.7 г;16.3 г
https://www.povarenok.ru/recipes/show/170040/;"Закусочный рулет ""На раз-два""";Закуски;"Яйцо куриное — 4 шт
Соль — 1 щепот.
Сыр твердый — 50 г
Морковь — 1 шт
Масло растительное (для обжаривания моркови) — 4 ст. л.
Сырок плавленый — 2 шт
Сыр твердый — 50 г
Чеснок — 2 зуб.
Майонез — 3 ст. л.
Укроп — 1 пуч.";;235.8 ккал;11.1 г;19.3 г;3.9 г
https://www.povarenok.ru/recipes/show/170039/;Слоеный пирог с курицей, картошкой, сыром;Выпечка;"Тесто слоеное дрожжевое — 500 г
Картофель — 400 г
Мука пшеничная / Мука — 50 г
Филе куриное — 300 г
Лук репчатый — 1 шт
Моцарелла — 200 г
Яйцо куриное — 1 шт";;223.4 ккал;10.3 г;10.4 г;23.3 г
https://www.povarenok.ru/recipes/show/170038/;"Пирожные ""Блаженство"" с творогом и вишней";Десерты;"Яйцо куриное — 3 шт
Сахар — 100 г
Масло растительное — 70 мл
Мука пшеничная / Мука — 200 г
Разрыхлитель теста — 1 ч. л.
Соль — 1 щепот.
Ванилин — 1 щепот.
Творог (пробитого блендером творога высокой жирности) — 500 г
Сахар — 110 г
Яйцо куриное — 1 шт
Крупа манная — 2 ст. л.
Ваниль — 1 щепот.
Вишня (без косточки) — 100 г";;237.1 ккал;10.5 г;7.8 г;31.2 г
https://www.povarenok.ru/recipes/show/170037/;Салат с блинчиками;Салаты;"Яйцо куриное — 1 шт
Соль — 1 щепот.
Вода — 120 мл
Разрыхлитель теста — 0,5 ч. л.
Мука пшеничная / Мука — 1 стак.
Окорочок куриный (копченый) — 2 шт
Огурец (свежий) — 1 шт
Огурец маринованный — 1 шт
Орехи грецкие — 40 г
Соль — по вкусу
Перец черный — по вкусу
Сметана — 2 ст. л.";;170.9 ккал;13.9 г;8.9 г;9 г
https://www.povarenok.ru/recipes/show/170035/;Быстрая и сочная ленивая самса;Выпечка;"Фарш мясной — 500 г
Лук репчатый — 1 шт
Картофель — 2 шт
Петрушка — 1 пуч.
Соль (по вкусу) — 1 ч. л.
Пряности (по вкусу) — 1 ч. л.
Тесто слоеное — 800 г";;209.2 ккал;3.3 г;8.7 г;22.2 г
