url;name;category;ingredients;steps;calories;protein;fat;carbohydrates
https://www.povarenok.ru/recipes/show/170803/;"Торт ""Пражский старинный""";Десерты;"Яйцо куриное — 4 шт
Сахар — 230 г
Сметана — 250 г
Аммоний пищевой — 2 ст. л.
Масло сливочное — 250 г
Мука пшеничная / Мука (до 400г) — 380 г
Какао-порошок — 60 г
Сахар — 200 г
Какао-порошок — 60 г
Молоко — 180 мл
Масло сливочное — 370 г";;404.7 ккал;4.9 г;27.7 г;34.1 г
https://www.povarenok.ru/recipes/show/170801/;"Пирог ""Клюква под снегом""";Выпечка;"Мука пшеничная / Мука — 300 г
Сахар — 80 г
Масло сливочное (размягчённое) — 120 г
Желток яичный — 4 шт
Разрыхлитель теста — 1,5 ч. л.
Клюква (свежая или размороженная) — 300 г
Сахар — 100 г
Крахмал кукурузный — 40 г
Белок яичный — 4 шт
Сок лимонный — 1 ст. л.
Сахар — 160 г";"Шаг 1: Готовим тесто. Отделяем белки 4-х яиц от желтков. С помощью миксера смешиваем 120 г размягчённого сливочного масла, 4 желтка и 80 г сахара. Должна получиться однородная, гладкая масса.
Шаг 2: 300 г пшеничной муки в отдельной посуде смешиваем с 1,5 ч. л. разрыхлителя и порционно просеиваем в масляно-яичную массу. Сначала аккуратно перемешиваем ложкой. Когда тесто загустеет, замешиваем руками. Долго вымешивать не нужно. Тесто должно получиться нежное и мягкое. Собираем его в шар, кладем в пакет или оборачиваем пищевой плёнкой и отправляем в холодильник на 20-30 минут.
Шаг 3: В это время займёмся приготовлением клюквенной начинки. Свежие ягоды промываем, замороженные- размораживаем и даём стечь жидкости. В сотейник отправляем 300г клюквы, 100 г сахара и 40 г кукурузного крахмала. Разминаем ягоды толкушкой.
Шаг 4: Если некоторые ягодки останутся целыми- ничего страшного. Отправляем сотейник на средний огонь и варим ягодную массу до загустения, постоянно помешивая.
Шаг 5: Достаем тесто из холодильника. Выпекать буду в форме диаметром 26 см, высота бортиков- 3 см. Форму не смазываем, т. к. тесто достаточно жирное. Равномерно распределяем тесто по дну и бортикам формы. Хорошенько прорабатываем уголки, чтобы после выпечки они не были излишне толстыми. Накалываем тесто вилкой, чтобы оно не поднялось. Ставим заготовку в заранее разогретую до 180 градусов духовку на 10 минут. У меня духовка работает в режиме «низ-верх» без конвекции.
Шаг 6: За это время песочная основа подрумянится, но останется довольно мягкой. Равномерно распределяем клюквенную начинку и отправляем в духовку ещё на 5 минут, чтобы начинка слегка схватилась сверху. По истечении времени достаем пирог из духовки.
Шаг 7: Готовим меренгу. В чашу миксера отправляем 4 яичных белка и 1 ст. л. лимонного сока. Взбиваем на средней скорости до лёгкой светлой пены. Затем порционно добавляем 160 г сахара и на высокой скорости взбиваем до стойких пиков.
Шаг 8: С помощью кондитерского мешка и насадки украшаем взбитыми белками пирог и отправляем обратно в духовку на 10 минут. Можно просто ложкой распределить белки по ягодной начинке и сделать произвольный рисунок.
Шаг 9: По истечении времени достаем пирог из духовки и даем ему полностью остыть. Можно кушать.";264.3 ккал;4.5 г;10 г;46.4 г
https://www.povarenok.ru/recipes/show/170800/;Морковное пирожное на закуску;Закуски;"Морковь (сырая ,натереть на мелкой тёрке) — 200 г
Яйцо куриное (в морковь) — 1 шт
Молоко (в морковь (у меня миндальное)) — 1 ст. л.
Сливки (в морковь любой жирности (у меня йогурт)) — 1 ст. л.
Сироп кленовый (любой (у меня сироп алычи)) — 1 ст. л.
Имбирь (свежего натереть на терке (У меня маринованный)) — 1/2 ч. л.";"Шаг 1: Продукты!
Шаг 2: Морковь натереть на мелкой терке ( сок отжать ) добавить -яйцо, молоко, сливки, натёртый имбирь, сироп.
Шаг 3: Все хорошо перемешать ложкой. Формочки смазать постным маслом, разложить по формочкам. Выпекать в духовке 30 минут 180"" Следите за своей техникой.
Шаг 4: Подать с сиропом, йогуртом.
Шаг 5: Приятного аппетита!";89.2 ккал;3.6 г;4.5 г;8.6 г
https://www.povarenok.ru/recipes/show/170799/;"Закуски из брокколи ""Паштида""";Закуски;"Яйцо куриное (в брокколи) — 1 шт
Чеснок (выдавить через чесночницу к брокколи) — 1 зуб.
Молоко (любое (у меня миндальное)) — 2 ст. л.
Сливки (Сливки любой жирности (у меня греческий йогурт)) — 1 ст. л.
Соль — по вкусу
Перец черный — по вкусу
Брокколи (разобрать на соцветия, НЕ ОТВАРИВАТЬ) — 300 г";"Шаг 1: Брокколи разобрать на соцветия в чашу блендера, добавить яйцо, молоко, сливки, чеснок выдавить, соль, перец.
Шаг 2: Пробить блендером.
Шаг 3: Форму для запекания смазать постным маслом, выложить массу по формочкам. Поставить на 180"" в духовку на 30 минут. Следите за своей техникой.
Шаг 4: Обязательно дать остыть в формочках, очень осторожно вынуть из формы, по краям осторожно провести силиконовой лопаткой. Очень воздушные! Подать можно со сметаной, йогуртом.
Шаг 5: Очень вкусно!!
Шаг 6: Приятного аппетита!! Спасибо, что заглянули!";67.8 ккал;4.6 г;3.6 г;5.7 г
https://www.povarenok.ru/recipes/show/170798/;Шоколадные конфеты из фасоли;Десерты;"Фасоль (красная) — 250 г
Шоколад темный (горький) — 100 г
Какао-порошок — 1 ст. л.
Миндаль (экстракт) — по вкусу
Сахар — 100 г
Орехи — 100 г
Масло кокосовое — 4 ст. л.";"Шаг 1: Подготовить продукты. Орехи можно использовать любые по желанию. Для постного десерта шоколад используйте горький, с содержанием какао не менее 70 %.
Шаг 2: Красную фасоль залить водой и оставить на несколько часов, лучше на ночь. После чего промыть ее, залить чистой водой и отварить до готовности.
Шаг 3: Фасоль переложить в блендер и измельчить до состояния однородной массы вместе с сахаром, орехами, какао- порошком.
Шаг 4: Текстуру будущих конфет регулируйте по своему вкусу. Можете оставить небольшие вкрапления орехов. Добавьте в массу несколько капель экстракта миндаля.
Шаг 5: Половину нормы шоколада растопить в микроволновой печи вместе с половиной нормы кокосового масла, хорошо размешать и добавить в фасолевую смесь.
Шаг 6: Разложить массу в силиконовые формы, слегка постучать о рабочую поверхность, чтобы смесь хорошо распределилась в форме и ушли воздушные пустоты. Поставить конфеты в морозильную камеру.
Шаг 7: Оставшийся шоколад и кокосовое масло растопить, размешать до гладкой и блестящей массы. Каждую конфету извлечь из формы и окунуть в шоколадную глазурь. Из данного количества получается 20 конфет.";463.6 ккал;12.4 г;23.3 г;51.2 г
https://www.povarenok.ru/recipes/show/170797/;"Салат с гречей ""Витаминная бомба""";Салаты;"Крупа гречневая (ёмкость стакана 100 мл) — 1 стак.
Вода — 200 мл
Соль (по вкусу)
Помидор — 1 шт
Перец болгарский — 1 шт
Огурец — 1 шт
Сельдерей черешковый — 1 шт
Редис (крупный) — 3 шт
Лук красный — 1 шт
Морковь — 1 шт
Крупа гречневая (ёмкость стакана 100 мл, отварная) — 1 стак.
Семечки тыквенные — 1 ст. л.
Семечки подсолнуха — 1 ст. л.
Лук зеленый (перья от одной луковицы) — 1 шт
Масло оливковое — 3 ст. л.
Сок лимонный — 1 ст. л.
Горчица (зернистая, любая, по вкусу) — 2 ч. л.
Соль (по вкусу)
Перец кайен (любой, опционально, по вкусу)";"Шаг 1: Для салата я буду использовать гречневую крупу ТД Агро-Альянс. Я возьму количеством с гранённую рюмку 100 мл. Залью водой 200 мл, посолю и сварю её не доваривая. Как гречка начнёт ""раскрываться"", я сниму её с огня и закутую в тёплое махровое полотенце и она там дойдёт. В ней сохранится больше витаминов и микроэлементов. Такая гречка хорошА для салатов.
Шаг 2: Готовим овощи. Это мой набор овощей. Тем, кто что-то не любит из овощей не кладите их в салат.
Шаг 3: Делаем заправку для салата. Я покажу две подачи салата и расскажу о двух заправка его. Первая заправка: оливковое масло соединить с лимонным соком и солью. По желанию с перцем-каен или другим вашим любимым. Вторая заправка: всё тоже, только нужно ещё добавить горчицу зернистую или обычную.
Шаг 4: Для первой подачи я возьму большое по диаметру блюдо и разложу все ингредиенты по секторам его, порезав их красиво и не мелко. В центр выложу зернистую горчицу, присыплю семечками подсолнуха и тыквы. Полью заправкой с маслом оливковым и лимонным соком, по желанию посолю её и поперчу. Так салат можно подать и вне Поста для гостей.
Шаг 5: Для второй подачи я всё соединю в салатнике глубоком и заправлю заправкой уже с зернистой (любой) горчицей. Скорректирую соль и перец по вкусу.";121.5 ккал;3.9 г;4.2 г;18.3 г
https://www.povarenok.ru/recipes/show/170796/;Ароматное блюдо из овощей с гречкой;Горячие блюда;"Крупа гречневая («Агро-Альянс») — 100 г
Ассорти овощное (""Овощное рагу"" - кабачок, помидор, перец сладкий, баклажан, морковь) — 100 г
Свекла (вареная) — 100 г
Лук репчатый — 1 шт
Соевый соус — 1 ст. л.
Морковь (небольшая - для украшения) — 1 шт
Масло растительное — 2 ст. л.
Приправа (""итальянские травы"") — 1 щепот.
Кунжут — 1 ч. л.
Базилик (или ваша любимая зелень) — 3 веточ.
Перец черный
Соль
Сок лимонный — 1 ст. л.
Масло оливковое — 2 ст. л.
Соевый соус — 1 ст. л.
Приправа (""итальянские травы"") — 1 щепот.
Перец черный
Соль";"Шаг 1: 1. Отварить гречневую крупу согласно инструкции.
Шаг 2: 2. Овощное рагу выложить в сито и бланшировать в кипящей воде, 1 минуту.
Шаг 3: 3. Очищенный репчатый лук нарезать кубиками и обжарить на разогретом растительном масле.
Шаг 4: 4. К пассеровке выложить овощное рагу, добавить соевый соус, приправу, поперчить, посолить и тушить до готовности, 2-3 минуты и снять с огня.
Шаг 5: 5. Вареную свеклу порезать соломкой и выложить в сковороду.
Шаг 6: 6. Добавить отваренную гречневую крупу, посолить, поперчить, перемешать и выложить в большую миску.
Шаг 7: 7. Приготовим заправку. Отдельно смешать все ингредиенты для заправки и полить блюдо. Аккуратно перемешать.
Шаг 8: 8. Выложить овощное рагу с гречкой в красивое блюдо, украсить любимой зеленью, обжаренными кружочками моркови, и посыпать обжаренным на сухой сковороде кунжутом. Блюдо готово! Его можно есть и теплым, и охлажденным. Приятного аппетита!";173.7 ккал;4.1 г;10.8 г;16.3 г
https://www.povarenok.ru/recipes/show/170794/;Бобовые на ужин в горшочке;Горячие блюда;"Фасоль (у меня фирмы Агро Альянс экстра) — 300 г
Фасоль стручковая — 150 г
Чечевица (у меня фирмы Агро Альянс экстра) — 200 г
Томатная паста — 3 ст. л.
Приправа (свежемолотые перец черный и красный, молотый кориандр, зира) — по вкусу
Морковь — 1 шт
Чеснок — 3 зуб.
Лук репчатый — 1 шт
Лук зеленый — по вкусу
Кинза — по вкусу
Соль — по вкусу
Масло оливковое (или масло на Ваш вкус) — 3 ст. л.
Помидор — 1 шт";"Шаг 1: Фасоль темно- красную Агро Альянс Экстра промыть водой и замочить на ночь в пропорции 1:3
Шаг 2: Воду слить, залить свежей и отварить фасоль до полуготовности.
Шаг 3: Зеленую чечевицу, у меня Агро Альянс Экстра промыть водой.
Шаг 4: Добавить чечевицу к фасоли и варить 20 мин. Добавить стручковую фасоль (у меня свежезамороженная), порезанную морковь, лук и варить еще 10 мин.
Шаг 5: Добавить томатную пасту, порезанный кусочками помидор, пряности, чеснок, соль и масло. Переложить в горшочки и отправить в духовку на 20 мин. Если у Вас мало времени, то можно довести до готовности в сотейнике на плите.
Шаг 6: Немного остудить перед подачей. Сверху полить маслом. Украсить зеленью. Приятного аппетита!";210.5 ккал;11.7 г;5.3 г;29.4 г
https://www.povarenok.ru/recipes/show/170793/;"Хлеб без замеса ""С семенами""";Выпечка;"Вода (теплая) — 360 мл
Дрожжи (сухие) — 5 г
Мука пшеничная / Мука — 520 г
Соль — 1 ч. л.
Масло растительное — 4 ст. л.
Семена льна — 1 ст. л.
Кунжут — 1 ст. л.";;257.1 ккал;6.3 г;8.1 г;40.7 г
https://www.povarenok.ru/recipes/show/170792/;Щавелевый суп с рисом и овощами;Бульоны и супы;"Рис ((бурый+дикий) ТМ Агро-Альянс Экстра) — 1.5 ст. л.
Сельдерей черешковый — 50 г
Перец болгарский — 50 г
Лук репчатый — 1 шт
Чеснок — 1 зуб.
Помидоры черри — 3 шт
Щавель — по вкусу
Кабачок — 50 г
Гвоздика — 2 шт
Перец душистый — 2 шт
Лист лавровый — 1 шт
Куркума — 1.5 ч. л.
Масло растительное — по вкусу
Соль — по вкусу";"Шаг 1: Рис промыть, залить водой на 2 порции супа, поставить отваривать. После закипания, добавить лавр, перец душистый и гвоздику.
Шаг 2: Все овощи порезать крупными кусочками, чеснок - соломкой и обжаривать на масле.
Шаг 3: В процессе жарки добавить куркуму.
Шаг 4: Когда рис готов, в кастрюльку выложить зажарку, подсолить по вкусу.
Шаг 5: У меня чистый, мороженный щавель, он не такой кислый, как свежий, поэтому с ним ничего предварительно не делать, а просто 1 горстку добавить в суп. Если щавель свежий, то я всегда большую половину ошпариваю кипятком, а свежего оставляю чуток, чтобы не был суп слишком кислым. Довести суп со всеми ингредиентами до кипения, снять с огня, накрыть крышкой и настоять минут 10.
Шаг 6: Подавать, как в горячем, так и в теплом виде.";60.8 ккал;2.2 г;0.7 г;11.7 г
